10119415022,175,Eyecare,,,
10181025105,475,Haircare,,,
10181025211,100,Haircare,,,
10181025938,485,Haircare,,,
10181033155,175,Haircare,,,
10228212079,200,Fresher,,,
10228212093,200,Fresher,,,
1054294988017,100,Pet,,,
1055804982822,150,Pet,,,
10700804228,85,Checkout candy,,,
10700807229,85,Checkout candy,,,
10700807274,135,Candy,,,
11020657617,300,Vitiams,,,
11110747075,75,Soup,,,
11111014916,300,bath,,,
11111040908,350,bath,,,
11111040915,350,bath,,,
11111040922,350,bath,,,
11111040946,600,bath,,,
11111079731,550,bath,,,
11111110915,300,bath,,,
11111121850,600,bath,,,
11111122246,550,bath,,,
11111124257,550,bath,,,
11111240919,400,bath,,,
11111240933,400,bath,,,
11111312395,600,bath,,,
11111323957,idk,Bath,,,
11111323971,225,Bath,,,
11111403895,600,bath,,,
11111439238,400,bath,,,
11111468696,595,brooms and mops,,,
11111471153,500,bath,,,
11111471184,300,bath,,,
11111471481,275,bath,,,
11111471511,275,bath,,,
11111471863,275,bath,,,
11111515598,500,bath,,,
11111553460,350,bath,,,
11111600690,400,Bath,,,
11115871324,135,Dairy,,,
11120004113,375,Chemical cleaning,,,
11132000400,395,Dog food,,,
11132006815,200,Dog food,,,
11132108403,75,Dog treat,,,
11132125165,75,Dog treat,,,
11132135973,75,Dog treat,,,
11132136048,75,Dog treat,,,
11132136062,75,Dog treat,,,
11132170714,200,Unknown,,,
11132170783,200,Unknown,,,
11132171384,300,Dog food,,,
11132171766,200,Dog food,,,
11171209772,350,brooms and mops,,,
11171209789,700,brooms and mops,,,
11171211836,650,brooms and mops,,,
11171223419,450,brooms and mops,,,
11171223426,275,brooms and mops,,,
11171227196,250,brooms and mops,,,
11171230264,150,brooms and mops,,,
11171231131,225,brooms and mops,,,
11171231148,225,brooms and mops,,,
11171231155,135,brooms and mops,,,
11171231162,135,brooms and mops,,,
11171231179,400,brooms and mops,,,
11171231186,135,brooms and mops,,,
11171231193,450,brooms and mops,,,
11171231230,300,brooms and mops,,,
11171231254,450,brooms and mops,,,
11171231285,275,brooms and mops,,,
11171231292,275,brooms and mops,,,
11171233401,350,brooms and mops,,,
11171241222,395,brooms and mops,,,
11171248900,450,brooms and mops,,,
11171259586,140,brooms and mops,,,
11171259593,140,brooms and mops,,,
11171259609,140,brooms and mops,,,
11171265006,500,brooms and mops,,,
11171265013,275,brooms and mops,,,
11171269639,850,brooms and mops,,,
11171269646,400,brooms and mops,,,
11171269653,1600,brooms and mops,,,
11171269660,450,brooms and mops,,,
11171269745,800,brooms and mops,,,
11171269752,350,brooms and mops,,,
11171287329,100,brooms and mops,,,
11171288500,100,brooms and mops,,,
11171288531,100,brooms and mops,,,
11171375729,150,brooms and mops,,,
11171377631,150,brooms and mops,,,
11171378904,150,brooms and mops,,,
11171462696,595,brooms and mops,,,
11171466144,1200,brooms and mops,,,
11171527456,200,brooms and mops,,,
11171548574,135,brooms and mops,,,
11171560880,900,brooms and mops,,,
11171567643,800,brooms and mops,,,
11171567650,350,brooms and mops,,,
11171568725,850,brooms and mops,,,
11171568732,350,brooms and mops,,,
11171568749,1200,brooms and mops,,,
11171568756,350,brooms and mops,,,
11179305520,90,Unknown,,,
11179346615,100,Unknown,,,
11179346622,90,Unknown,,,
11179346714,90,Unknown,,,
11179346912,100,Unknown,,,
11179370719,idk,Unknown,,,
11179370818,idk,Unknown,,,
11179370917,idk,Unknown,,,
11179371013,idk,Unknown,,,
11179450879,180,Unknown,,,
11179614820,90,Unknown,,,
11179614844,90,Unknown,,,
11179614851,90,Unknown,,,
11179614868,90,Unknown,,,
11179614875,90,Unknown,,,
11179614882,90,Unknown,,,
11179614899,90,Unknown,,,
11179664405,159,Unknown,,,
11206005003,85,Checkout candy,,,
11215317623,200,Candy,,,
11481904763,175,Unknown,,,
11509001627,385,Toothpastes,,,
11509001634,385,Toothpastes,,,
11509040107,500,Shaving grooms,,,
11509040114,500,Shaving grooms,,,
11509040121,500,Shaving grooms,,,
11509040138,500,Shaving grooms,,,
11509211323,325,Shaving grooms,,,
12000012709,550,Soft drinks,,,
12000012754,140,Soft drinks,,,
12000012761,550,Soft drinks,,,
12000012792,550,Soft drinks,,,
12000016431,150,Soft drinks,,,
12000016721,275,Soft drinks,,,
12000018817,160,Soft drinks,,,
12000024535,300,Soft drinks,,,
12000024542,300,Soft drinks,,,
12000028458,275,Soft drinks,,,
12000028496,275,Soft drinks,,,
12000030987,100,Soft drinks,,,
12000031878,100,Soft drinks,,,
12000034039,100,Soft drinks,,,
12000038488,275,Soft drinks,,,
12000044779,275,Soft drinks,,,
12000044786,275,Soft drinks,,,
12000044953,275,Soft drinks,,,
12000044960,276,Soft drinks,,,
12000105425,100,Soft drinks,,,
12000107351,350,Sorft drinks,,,
12000112232,140,Soft drinks,,,
12000112249,550,Soft drinks,,,
12000126352,150,Soft drinks,,,
12000140921,100,Soft drinks,,,
